"","USPS","GEOID","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG"
"3793","CA","6055200804",1228020,0,0.474,0,38.2946539,-122.3074339
"3794","CA","6055200900",4860170,217442,1.877,0.084,38.2737581,-122.2728136
"3795","CA","6055201003",72227920,210833,27.887,0.081,38.2374295,-122.231297
"3796","CA","6055201004",2649362,1415,1.023,0.001,38.1612495,-122.2397673
"3797","CA","6055201005",29396990,9598291,11.35,3.706,38.2033546,-122.2809609
"3798","CA","6055201006",1588780,0,0.613,0,38.1712166,-122.260628
"3799","CA","6055201007",1312532,0,0.507,0,38.1608327,-122.2596823
"3800","CA","6055201101",1803633,0,0.696,0,38.307287,-122.345451
"3801","CA","6055201102",148947280,5073076,57.509,1.959,38.2965812,-122.3845342
"3802","CA","6055201200",59510546,232283,22.977,0.09,38.3688909,-122.3623165
"3803","CA","6055201300",3948309,0,1.524,0,38.3955265,-122.3669355
"3804","CA","6055201401",102675987,407924,39.643,0.158,38.4063266,-122.2800015
"3805","CA","6055201402",31716419,101179,12.246,0.039,38.3226754,-122.2248403
"3806","CA","6055201403",236272750,2179382,91.225,0.841,38.4219801,-122.1823391
"3807","CA","6055201500",133402846,307123,51.507,0.119,38.476323,-122.4673061
"3808","CA","6055201601",6358793,8596,2.455,0.003,38.5025916,-122.4520746
"3809","CA","6055201602",6566848,97349,2.535,0.038,38.5082184,-122.4787754
"3810","CA","6055201700",177810436,4241323,68.653,1.638,38.5549366,-122.4312603
"3811","CA","6055201800",679229124,79789674,262.252,30.807,38.6404729,-122.2866466
"3812","CA","6055201900",176878119,574358,68.293,0.222,38.638815,-122.525787
"3813","CA","6055202000",6728918,47145,2.598,0.018,38.5814083,-122.5826961
"3814","CA","6057000102",20011270,53117,7.726,0.021,39.124831,-121.0499716
"3815","CA","6057000103",71129842,1460898,27.463,0.564,39.0603644,-121.0424118
"3816","CA","6057000104",12431121,18821,4.8,0.007,39.1509511,-121.0593919
"3817","CA","6057000105",44003702,29143,16.99,0.011,39.068005,-121.1014847
"3818","CA","6057000200",195625196,383978,75.531,0.148,39.1018388,-121.1993401
"3819","CA","6057000300",58632337,22539,22.638,0.009,39.1744271,-121.1052442
"3820","CA","6057000401",18579447,1172452,7.174,0.453,39.24605,-121.1801765
"3821","CA","6057000402",140140951,1382528,54.109,0.534,39.2091585,-121.2138243
"3822","CA","6057000501",10820356,0,4.178,0,39.233505,-121.0672255
"3823","CA","6057000502",11125134,0,4.295,0,39.2116644,-121.0816493
"3824","CA","6057000600",14792630,0,5.711,0,39.2143813,-121.0349251
"3825","CA","6057000701",224208314,2405864,86.567,0.929,39.2295298,-120.8825536
"3826","CA","6057000702",49151810,17752,18.978,0.007,39.1611141,-121.005663
"3827","CA","6057000801",155921375,2856299,60.202,1.103,39.3058929,-120.9405534
"3828","CA","6057000802",28909059,9642,11.162,0.004,39.2508975,-121.045279
"3829","CA","6057000900",1300604641,28051665,502.166,10.831,39.4173331,-120.5885542
"3830","CA","6057001203",21087295,0,8.142,0,39.353485,-120.2110907
"3831","CA","6057001204",28234883,3396062,10.902,1.311,39.333391,-120.2644328
"3832","CA","6057001205",59575388,271233,23.002,0.105,39.342348,-120.1090918
"3833","CA","6057001206",15602580,0,6.024,0,39.331005,-120.1706073
"3834","CA","6059001101",1750507,0,0.676,0,33.9427646,-117.963138
"3835","CA","6059001102",1020158,0,0.394,0,33.9340284,-117.972265
"3836","CA","6059001103",1343581,0,0.519,0,33.9346776,-117.9615274
"3837","CA","6059001201",872396,0,0.337,0,33.9324823,-117.9531627
"3838","CA","6059001202",875893,0,0.338,0,33.9331436,-117.9434406
"3839","CA","6059001301",1933283,0,0.746,0,33.9227729,-117.9678496
"3840","CA","6059001303",1179651,0,0.455,0,33.9209014,-117.9511671
"3841","CA","6059001304",1252716,0,0.484,0,33.9244375,-117.9455411
"3842","CA","6059001401",1592981,15869,0.615,0.006,33.940824,-117.9410039
"3843","CA","6059001402",1238597,0,0.478,0,33.9388223,-117.9286916
"3844","CA","6059001403",1326098,0,0.512,0,33.9392983,-117.9199395
"3845","CA","6059001404",2926347,0,1.13,0,33.9247336,-117.9292136
"3846","CA","6059001501",3222947,4199,1.244,0.002,33.9340988,-117.9135027
"3847","CA","6059001503",3085738,0,1.191,0,33.9153582,-117.9082621
"3848","CA","6059001504",2048541,0,0.791,0,33.9160273,-117.890759
"3849","CA","6059001505",3126891,7184,1.207,0.003,33.9038169,-117.8940242
"3850","CA","6059001506",4508221,27603,1.741,0.011,33.938276,-117.8888187
"3851","CA","6059001507",1910333,0,0.738,0,33.9264693,-117.8944395
"3852","CA","6059001601",5037524,0,1.945,0,33.9022276,-117.9223002
"3853","CA","6059001602",4249774,0,1.641,0,33.8908928,-117.9021254
"3854","CA","6059001704",3038415,0,1.173,0,33.8866381,-117.9568638
"3855","CA","6059001705",1595531,0,0.616,0,33.9117646,-117.9402667
"3856","CA","6059001706",3803457,20879,1.469,0.008,33.8932937,-117.9383193
"3857","CA","6059001707",5152171,0,1.989,0,33.9046917,-117.9681615
"3858","CA","6059001708",3008606,0,1.162,0,33.9054515,-117.9505071
"3859","CA","6059001801",1750832,0,0.676,0,33.8673036,-117.9795486
"3860","CA","6059001802",1176744,0,0.454,0,33.8630156,-117.9720501
"3861","CA","6059001901",822786,0,0.318,0,33.8637759,-117.9637238
"3862","CA","6059001902",857688,0,0.331,0,33.8637798,-117.9548148
"3863","CA","6059001903",919679,0,0.355,0,33.8567327,-117.9588447
"3864","CA","6059011000",3040243,0,1.174,0,33.8735241,-117.9535931
"3865","CA","6059011101",1030836,0,0.398,0,33.8604798,-117.9459428
"3866","CA","6059011102",1105857,0,0.427,0,33.8605165,-117.937447
"3867","CA","6059011200",1671680,0,0.645,0,33.8732653,-117.9360784
"3868","CA","6059011300",1780499,0,0.687,0,33.8755102,-117.9257733
"3869","CA","6059011401",1424308,0,0.55,0,33.8797583,-117.9180846
"3870","CA","6059011402",1136421,0,0.439,0,33.880582,-117.907682
"3871","CA","6059011403",1485009,0,0.573,0,33.8715955,-117.9057059
"3872","CA","6059011502",1344639,0,0.519,0,33.8707135,-117.8891258
